id,created_date,source,category,title,detail,due_date,status,completed_date,linked_txn_id,notion_page_id
24,2026-08-01,AUTO:DIV:20260220-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-02-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260220-002,
25,2026-08-01,AUTO:DIV:20260220-003,현금흐름,"AAPL 배당 ₩749,840 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-02-20 본인 신한증권 · AAPL 분기배당 (현지 15% 원천징수),,OPEN,,20260220-003,
26,2026-08-01,AUTO:DIV:20260220-004,현금흐름,"MSFT 배당 ₩236,200 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-02-20 본인 신한증권 · MSFT 분기배당 (현지 15% 원천징수),,OPEN,,20260220-004,
27,2026-08-01,AUTO:DIV:20260220-005,현금흐름,"GOOG 배당 ₩76,426 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-02-20 본인 신한증권 · GOOG 분기배당 (현지 15% 원천징수),,OPEN,,20260220-005,
28,2026-08-01,AUTO:DIV:20260220-006,현금흐름,"BOND_FX.브라질2031 이자/쿠폰 ₩9,940,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-02-20 본인 신한증권 · 반기쿠폰 BRL 35,000 → 원화 (비과세)",,OPEN,,20260220-006,
29,2026-08-01,AUTO:DIV:20260220-007,현금흐름,"BOND_FX.브라질2035신규 이자/쿠폰 ₩9,940,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-02-20 본인 신한증권 · 반기쿠폰 BRL 35,000 → 원화 (비과세)",,OPEN,,20260220-007,
30,2026-08-01,AUTO:DIV:20260320-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-03-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260320-001,
31,2026-08-01,AUTO:DIV:20260320-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-03-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260320-002,
32,2026-08-01,AUTO:DIV:20260320-003,현금흐름,"088980.KS 배당 ₩3,121,462 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-03-20 본인 삼성증권 · 맥쿼리인프라 반기배당 (세후 2,640,757원)",,OPEN,,20260320-003,
33,2026-08-01,AUTO:DIV:20260420-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-04-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260420-001,
34,2026-08-01,AUTO:DIV:20260420-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-04-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260420-002,
35,2026-08-01,AUTO:DIV:20260420-003,현금흐름,"BOND_KR.국고채015003609 이자/쿠폰 ₩375,000 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-04-20 본인 신한증권 · 국고채 반기이표 (세후 317,250원)",,OPEN,,20260420-003,
36,2026-08-01,AUTO:DIV:20260520-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-05-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260520-001,
37,2026-08-01,AUTO:DIV:20260520-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-05-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260520-002,
38,2026-08-01,AUTO:DIV:20260520-003,현금흐름,"AAPL 배당 ₩749,840 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-05-20 본인 신한증권 · AAPL 분기배당 (현지 15% 원천징수),,OPEN,,20260520-003,
39,2026-08-01,AUTO:DIV:20260520-004,현금흐름,"MSFT 배당 ₩236,200 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-05-20 본인 신한증권 · MSFT 분기배당 (현지 15% 원천징수),,OPEN,,20260520-004,
40,2026-08-01,AUTO:DIV:20260520-005,현금흐름,"GOOG 배당 ₩76,426 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)",2026-05-20 본인 신한증권 · GOOG 분기배당 (현지 15% 원천징수),,OPEN,,20260520-005,
41,2026-08-01,AUTO:DIV:20260620-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-06-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260620-001,
42,2026-08-01,AUTO:DIV:20260620-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-06-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260620-002,
43,2026-08-01,AUTO:DIV:20260720-001,현금흐름,"494300.KS 배당 ₩4,965,562 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-07-20 본인 삼성증권 · 나스닥100 커버드콜 월분배금 (세후 4,200,865원)",,OPEN,,20260720-001,
44,2026-08-01,AUTO:DIV:20260720-002,현금흐름,"483280.KS 배당 ₩2,109,750 — 실제 입고여부 확인 + 현금 용도 결정(생활비/재투자/ISA)","2026-07-20 본인 삼성증권 · AI테크 커버드콜 월분배금 (세후 1,784,848원)",,OPEN,,20260720-002,
45,2026-08-01,AUTO:FININCOME80:2026,세금,"금융소득 2,000만 임계 80% 도달 (누적 ₩55,148,577) — 하반기 배당 재배치 검토","연말 예상 과세 금융소득 ₩84,149,867",,OPEN,,,
46,2026-08-01,AUTO:IPS:1:2026,IPS준수,"IPS 목표 미달: 브라질국채 원금 4억 — 현재 ₩374,220,000 / 목표 ₩400,000,000 (94%)", · IPS준수 탭에서 진행률 확인,2026-12-31,OPEN,,,
