txn_id,date,settle_date,owner,account,asset_id,asset_class,type,qty,price,ccy,fx,fx_type,amount_ccy,fee,tax,link_id,tag,note
20250730-009,2025-07-30,,본인,신한증권,GOOG,US_STOCK,OPEN_POS,50,300,USD,1400.0,,15000,,,,SEED,알파벳 — 분기배당
20250730-010,2025-07-30,,본인,삼성증권,005930.KS,KR_STOCK,OPEN_POS,200,70000,KRW,1,,14000000,,,,SEED,삼성전자 — 성장/분산
20250730-011,2025-07-30,,본인,신한증권,QQQ,US_STOCK,OPEN_POS,30,480,USD,1400.0,,14400,,,,SEED,인베스코 QQQ — 성장/분산
20250730-012,2025-07-30,,배우자,배우자증권,005930.KS,KR_STOCK,OPEN_POS,100,65000,KRW,1,,6500000,,,,SEED,삼성전자 — 배우자 명의
20250730-013,2025-07-30,,본인,신한증권,CASH.KRW,CASH,BALANCE,,,KRW,1,,18000000,,,,,개시 후 예수금 잔고 확정
20250730-014,2025-07-30,,본인,신한증권,CASH.USD,CASH,BALANCE,,,USD,1,,5000,,,,,개시 후 달러 예수금 확정
20250730-015,2025-07-30,,본인,삼성증권,CASH.KRW,CASH,BALANCE,,,KRW,1,,12000000,,,,,개시 후 예수금 잔고 확정
20250730-016,2025-07-30,,배우자,배우자증권,CASH.KRW,CASH,BALANCE,,,KRW,1,,10000000,,,,,개시 후 예수금 잔고 확정
20250820-001,2025-08-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20250820-002,2025-08-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20250820-003,2025-08-20,,본인,신한증권,AAPL,US_STOCK,DIVIDEND,,,USD,1442.0,,520.0,,80.08,,,AAPL 분기배당 (현지 15% 원천징수)
20250820-004,2025-08-20,,본인,신한증권,MSFT,US_STOCK,DIVIDEND,,,USD,1442.0,,163.8,,25.23,,,MSFT 분기배당 (현지 15% 원천징수)
20250820-005,2025-08-20,,본인,신한증권,GOOG,US_STOCK,DIVIDEND,,,USD,1442.0,,53.0,,8.16,,,GOOG 분기배당 (현지 15% 원천징수)
20250820-006,2025-08-20,,본인,신한증권,BOND_FX.브라질2031,BOND_FX,COUPON,,,KRW,1,,9940000,,0,,,"반기쿠폰 BRL 35,000 → 원화 (비과세)"
20250820-007,2025-08-20,,본인,신한증권,BOND_FX.브라질2035신규,BOND_FX,COUPON,,,KRW,1,,9940000,,0,,,"반기쿠폰 BRL 35,000 → 원화 (비과세)"
20250920-001,2025-09-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20250920-002,2025-09-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20250920-003,2025-09-20,,본인,삼성증권,088980.KS,KR_ETF,DIVIDEND,,,KRW,1,,3121462,,480705,,,"맥쿼리인프라 반기배당 (세후 2,640,757원)"
20251020-001,2025-10-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20251020-002,2025-10-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20251020-003,2025-10-20,,본인,신한증권,BOND_KR.국고채015003609,BOND_KR,COUPON,,,KRW,1,,375000,,57750,,,"국고채 반기이표 (세후 317,250원)"
20251120-001,2025-11-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20251120-002,2025-11-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20251120-003,2025-11-20,,본인,신한증권,AAPL,US_STOCK,DIVIDEND,,,USD,1442.0,,520.0,,80.08,,,AAPL 분기배당 (현지 15% 원천징수)
20251120-004,2025-11-20,,본인,신한증권,MSFT,US_STOCK,DIVIDEND,,,USD,1442.0,,163.8,,25.23,,,MSFT 분기배당 (현지 15% 원천징수)
20251120-005,2025-11-20,,본인,신한증권,GOOG,US_STOCK,DIVIDEND,,,USD,1442.0,,53.0,,8.16,,,GOOG 분기배당 (현지 15% 원천징수)
20251220-001,2025-12-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20251220-002,2025-12-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260120-001,2026-01-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260120-002,2026-01-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260220-001,2026-02-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260220-002,2026-02-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260220-003,2026-02-20,,본인,신한증권,AAPL,US_STOCK,DIVIDEND,,,USD,1442.0,,520.0,,80.08,,,AAPL 분기배당 (현지 15% 원천징수)
20260220-004,2026-02-20,,본인,신한증권,MSFT,US_STOCK,DIVIDEND,,,USD,1442.0,,163.8,,25.23,,,MSFT 분기배당 (현지 15% 원천징수)
20260220-005,2026-02-20,,본인,신한증권,GOOG,US_STOCK,DIVIDEND,,,USD,1442.0,,53.0,,8.16,,,GOOG 분기배당 (현지 15% 원천징수)
20260220-006,2026-02-20,,본인,신한증권,BOND_FX.브라질2031,BOND_FX,COUPON,,,KRW,1,,9940000,,0,,,"반기쿠폰 BRL 35,000 → 원화 (비과세)"
20260220-007,2026-02-20,,본인,신한증권,BOND_FX.브라질2035신규,BOND_FX,COUPON,,,KRW,1,,9940000,,0,,,"반기쿠폰 BRL 35,000 → 원화 (비과세)"
20260320-001,2026-03-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260320-002,2026-03-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260320-003,2026-03-20,,본인,삼성증권,088980.KS,KR_ETF,DIVIDEND,,,KRW,1,,3121462,,480705,,,"맥쿼리인프라 반기배당 (세후 2,640,757원)"
20260420-001,2026-04-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260420-002,2026-04-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260420-003,2026-04-20,,본인,신한증권,BOND_KR.국고채015003609,BOND_KR,COUPON,,,KRW,1,,375000,,57750,,,"국고채 반기이표 (세후 317,250원)"
20260520-001,2026-05-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260520-002,2026-05-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260520-003,2026-05-20,,본인,신한증권,AAPL,US_STOCK,DIVIDEND,,,USD,1442.0,,520.0,,80.08,,,AAPL 분기배당 (현지 15% 원천징수)
20260520-004,2026-05-20,,본인,신한증권,MSFT,US_STOCK,DIVIDEND,,,USD,1442.0,,163.8,,25.23,,,MSFT 분기배당 (현지 15% 원천징수)
20260520-005,2026-05-20,,본인,신한증권,GOOG,US_STOCK,DIVIDEND,,,USD,1442.0,,53.0,,8.16,,,GOOG 분기배당 (현지 15% 원천징수)
20260602-001,2026-06-02,,본인,신한증권,QQQ,US_STOCK,SELL,10,560,USD,1435,,5600,5,0,,,QQQ 일부 차익실현
20260620-001,2026-06-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260620-002,2026-06-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
20260720-001,2026-07-20,,본인,삼성증권,494300.KS,KR_ETF,DIVIDEND,,,KRW,1,,4965562,,764697,,,"나스닥100 커버드콜 월분배금 (세후 4,200,865원)"
20260720-002,2026-07-20,,본인,삼성증권,483280.KS,KR_ETF,DIVIDEND,,,KRW,1,,2109750,,324902,,,"AI테크 커버드콜 월분배금 (세후 1,784,848원)"
